@copyright 新媒体搜索引擎: https://www.sougood.top
-----------------------------------------------
词语	词频	词性
消化	74	动词
贫困	74	形容词
手术	74	名词
书中	74	名词
书中	74	方位词
口	74	量词
游民	74	名词
骗局	73	名词
乐	73	形容词
骄傲	73	形容词
逃离	73	动词
tim	73	英文
单	73	名词
公里	73	量词
位于	73	动词
赶上	73	副词
青春期	73	时间词
时常	73	副词
最难	73	副词
最难	73	形容词
世间	73	名词
大跌	73	动词
领先	73	名词
分歧	73	名词
透明	73	动词
主播	73	动词
不住	73	动词
合作伙伴	73	名词
渐渐	73	副词
局部	73	名词
往前	73	时间词
桌子	73	名词
悲伤	73	形容词
过分	73	名词
钱颖	73	名词
截止	73	动词
取代	73	动词
以往	73	时间词
百万	73	数词
剧	73	名词
鲁迅	73	名词
红杉	73	名词
平常心	73	名词
登山	73	名词
安德鲁	73	名词
候选人	72	名词
遭受	72	动词
制	72	名词
折现	72	动词
资深	72	名词
商学院	72	名词
手中	72	处所词
点赞	72	数词
点赞	72	动词
对外	72	处所词
清华	72	名词
牌	72	名词
女士	72	名词
扭曲	72	动词
行政	72	名词
永不	72	副词
纸质	72	名词
营	72	名词
性价比	72	名词
新增	72	动词
满足感	72	名词
床上	72	名词
滑雪	72	名词
线性	72	名词
梁文道	72	名词
布	72	名词
药物	72	名词
罕见	72	形容词
觉知	72	动词
薛兆丰	72	名词
秘书	72	名词
押注	72	动词
周边	71	方位词
我用	71	代词
我用	71	介词
指望	71	动词
没人	71	动词
没人	71	名词
浪潮	71	名词
洗澡	71	动词
一次性	71	副词
大学生	71	名词
文案	71	名词
好玩	71	动词
好比	71	动词
微信号	71	字符串
线索	71	名词
瓶颈	71	名词
当事人	71	名词
魅力	71	名词
一切都是	71	成语
港币	71	名词
季度	71	名词
某件事	71	动词
做空	71	动词
做空	71	名词
前段时间	71	名词
一杯	71	数词
几句	71	数词
感悟	71	动词
躲	71	动词
践行	71	动词
激动	71	形容词
原生	71	名词
太难	71	副词
太难	71	形容词
发起	71	动词
tesla	71	英文
攀登	71	动词
鸡蛋	71	名词
翠莲	71	名词
成庆	71	名词
对面	70	名词
套利	70	名词
脑海	70	名词
境界	70	名词
韩国	70	名词
岁月	70	时间词
人为	70	名词
万物	70	名词
伯格	70	名词
一对	70	数词
调	70	动词
年间	70	时间词
黑天鹅	70	名词
实验室	70	名词
投资收益	70	名词
祝	70	动词
层级	70	名词
一看	70	数词
一看	70	动词
奖金	70	名词
接到	70	动词
虚假	70	形容词
讲话	70	名词
低调	70	动词
人设	70	名词
人设	70	动词
样本	70	名词
见识	70	动词
n	70	字符串
我来	70	代词
我来	70	动词
错觉	70	名词
美的	70	名词
生理	70	动词
浪费时间	70	名词
斗争	70	动词
性质	70	名词
无疑	70	副词
独处	70	副词
赌场	70	名词
不像	69	副词
不像	69	动词
借助	69	动词
爸妈	69	名词
难受	69	动词
抑制	69	动词
阿茂	69	名词
圈子	69	名词
义务	69	名词
放心	69	动词
演	69	动词
许可	69	名词
时空	69	名词
决	69	动词
平行	69	名词
赞	69	动词
即时	69	连词
实施	69	动词
挖	69	动词
动手	69	名词
考察	69	动词
前途	69	名词
三角形	69	名词
搞清楚	69	习用语
退	69	动词
健身	69	动词
难过	69	动词
北大	69	简称略语
润	69	动词
直观	69	名词
潮流	69	名词
坚信	69	动词
毛病	69	名词
亿美金	69	数词
共有	69	动词
颜色	69	名词
三次	69	数词
生长	69	名词
效用	69	名词
飞轮	69	名词
干净	69	形容词
失业	69	名词
持仓	69	动词
受害者	69	名词
曼佐尼	69	名词
尔冬升	69	名词
格	68	名词
走上	68	动词
发生变化	68	习用语
手头	68	名词
疲惫	68	形容词
world	68	英文
键盘	68	名词
唱歌	68	名词
歌	68	名词
三点	68	数词
聚会	68	名词
遇见	68	动词
阶层	68	名词
几分钟	68	数词
知乎	68	动词
并不知道	68	习用语
局面	68	名词
初期	68	时间词
因果关系	68	名词
服务器	68	名词
一代人	68	名词
年里	68	数词
年里	68	方位词
片子	68	名词
一人	68	数词
一人	68	名词
小马	68	名词
坦诚	68	形容词
蛮	68	副词
数据库	68	名词
票	68	名词
剧情	68	名词
跨越	68	动词
比方说	68	习用语
带有	68	动词
情节	68	名词
椅子	68	名词
充足	68	形容词
经济学家	68	名词
分布	68	动词
线上	68	名词
线上	68	方位词
证伪	68	简称略语
外围	68	方位词
童年	68	时间词
养老金	68	名词
一点儿	67	数词
情景	67	名词
强制	67	动词
一支	67	数词
建筑	67	名词
弥补	67	动词
发布会	67	名词
文艺	67	名词
货	67	名词
报名	67	动词
一组	67	数词
付	67	动词
穷	67	形容词
好不好	67	习用语
投票	67	名词
得不到	67	动词
通往	67	副词
生育	67	动词
主人	67	名词
易	67	形容词
总能	67	名词
珍惜	67	形容词
教训	67	动词
诗人	67	名词
q	67	字符串
常用	67	区别词
加仓	67	动词
书里	67	名词
书里	67	方位词
碰	67	动词
导向	67	名词
小组	67	名词
文中	67	处所词
众多	67	数词
延续	67	动词
我读	67	代词
我读	67	动词
电子书	67	名词
一两个	67	数词
供应链	67	名词
基础设施	67	名词
激活	67	形容词
太高	67	副词
太高	67	形容词
安心	67	动词
惩罚	67	动词
干预	67	动词
宋	67	名词
霍华德	67	名词
融合	66	动词
兑现	66	动词
用到	66	动词
章	66	量词
一台	66	数词
找个	66	动词
找个	66	量词
几位	66	数词
乱	66	副词
一圈	66	数词
屁股	66	名词
火车	66	名词
发行	66	动词
声	66	名词
好坏	66	动词
疑惑	66	动词
这样的话	66	习用语
金字塔	66	名词
脑	66	名词
程	66	名词
在读	66	动词
所处	66	连词
所处	66	名词
息	66	状态词
亿元	66	数词
拯救	66	动词
某种意义	66	动词
无用	66	动词
一般来说	66	习用语
个人成长	66	名词
人力	66	名词
愿	66	动词
甚	66	状态词
综艺节目	66	习用语
欠	66	动词
碰撞	66	动词
一步步	66	数词
金融资产	66	名词
折腾	66	动词
厌恶	66	动词
向往	66	副词
星标	66	名词
继承	66	动词
约定	66	动词
只用	66	动词
皮质	66	名词
击球	66	动词
看透	66	动词
daily	66	英文
陈昌雨	66	名词
权衡	65	名词
世	65	名词
限度	65	名词
遥远	65	形容词
iphone	65	英文
名为	65	动词
心想	65	名词
星期	65	时间词
自行车	65	名词
客服	65	名词
笑话	65	名词
入口	65	名词
可行	65	动词
顶	65	动词
大小	65	区别词
传奇	65	名词
暴力	65	名词
尺度	65	名词
七	65	数词
新书	65	名词
善良	65	形容词
忠诚	65	形容词
罗胖	65	名词
标普	65	名词
语境	65	名词
一口气	65	成语
利润率	65	名词
交付	65	动词
官	65	名词
图书馆	65	名词
大佬	65	名词
场上	65	处所词
深深	65	区别词
鸡	65	名词
博主	65	字符串
自学	65	名词
性骚扰	65	习用语
声明	64	名词
格子	64	名词
口袋	64	名词
上瘾	64	动词
更能	64	副词
更能	64	动词
夸张	64	动词
五条	64	数词
一间	64	数词
举办	64	动词
落后	64	形容词
保	64	动词
整整	64	动词
告知	64	动词
术	64	动词
务	64	副词
宏大	64	形容词
看不懂	64	动词
机械	64	名词
步	64	名词
青少年	64	名词
首次	64	数词
听听	64	动词
无效	64	形容词
立	64	动词
讲讲	64	动词
扫描	64	动词
央视	64	简称略语
必	64	副词
排队	64	名词
界面	64	名词
时尚	64	名词
我家	64	代词
左	64	数词
海底	64	处所词
糖	64	状态词
备忘录	64	名词
盒子	64	名词
乒乓球	64	名词
畅游	64	动词
王强	64	名词
世上	63	处所词
账本	63	名词
跟踪	63	动词
图书	63	名词
一大	63	形容词
查	63	动词
玻璃	63	名词
队伍	63	名词
毛利	63	名词
走路	63	名词
一个点	63	数词
海	63	名词
房租	63	名词
十分钟	63	数词
习惯于	63	动词
学科	63	名词
小米	63	名词
台	63	量词
术语	63	名词
不高	63	副词
不高	63	形容词
成年	63	时间词
待遇	63	名词
黑暗	63	状态词
抛弃	63	动词
带领	63	动词
习	63	动词
实时	63	副词
二级	63	区别词
公布	63	动词
越高	63	副词
越高	63	形容词
口碑	63	名词
应付	63	动词
获胜	63	动词
就行	63	副词
就行	63	动词
锤子	63	名词
轨迹	63	名词
微笑	63	动词
操作系统	63	习用语
物流	63	名词
模块	63	名词
全职	63	名词
第三方	63	数词
更难	63	副词
更难	63	形容词
强行	63	动词
股票市场	63	名词
创伤	63	动词
早晨	63	时间词
句	63	量词
反抗	63	动词
能看懂	63	习用语
大象	63	名词
武汉	63	名词
老家	63	名词
行事	63	名词
固定成本	63	习用语
殡葬	63	动词
异常	62	副词
下图	62	动词
扩展	62	动词
抵抗	62	动词
阻止	62	动词
打断	62	动词
证实	62	名词
组建	62	动词
队	62	名词
厕所	62	名词
出行	62	动词
那年	62	代词
感叹	62	动词
那段	62	代词
说实话	62	习用语
起步	62	副词
赌徒	62	名词
阻力	62	名词
理智	62	名词
协调	62	动词
增	62	动词
剪辑	62	名词
失	62	状态词
反省	62	名词
杀	62	动词
骗子	62	名词
报价	62	名词
有太多	62	动词
有太多	62	副词
有太多	62	数词
去掉	62	动词
考上	62	动词
用钱	62	动词
链条	62	名词
隔	62	动词
硬	62	形容词
失控	62	动词
机会成本	62	习用语
选择权	62	名词
有意	62	动词
精进	62	形容词
食堂	62	名词
药	62	名词
讲过	62	动词
讲过	62	助词
胜率	62	名词
生财	62	动词
项飙	62	名词
有益	61	名词
模拟	61	动词
下意识	61	动词
回想	61	动词
炒	61	动词
墙上	61	处所词
去过	61	动词
三天	61	数词
农民	61	名词
皇帝	61	名词
涌现	61	动词
落	61	动词
检验	61	动词
万人	61	数词
万人	61	名词
姿态	61	名词
网易	61	名词
搜	61	状态词
决赛	61	名词
高达	61	形容词
高达	61	动词
树	61	动词
浏览	61	动词
较大	61	形容词
代	61	量词
记录下来	61	习用语
打动	61	动词
身心	61	名词
金融危机	61	名词
捡	61	动词
低价	61	名词
附上	61	方位词
指挥	61	动词
法国	61	名词
运营商	61	名词
事是	61	名词
事是	61	动词
手册	61	名词
迎来	61	动词
无意识	61	习用语
诊断	61	动词
同情	61	名词
支配	61	动词
两周	61	数词
前两天	61	成语
加工	61	动词
博弈	61	动词
交谈	61	动词
叙述	61	动词
请教	61	动词
弗雷迪	61	名词
遍历性	61	名词
两件事	60	名词
化学	60	名词
情形	60	名词
疼	60	动词
还给	60	动词
上次	60	时间词
出自	60	动词
姑娘	60	名词
雷	60	名词
海报	60	名词
六个	60	数词
半小时	60	区别词
第一天	60	数词
做生意	60	动词
指向	60	名词
答应	60	动词
生日	60	时间词
意志力	60	名词
黑洞	60	名词
聚集	60	动词
风口	60	名词
中立	60	区别词
战	60	名词
体内	60	处所词
造	60	动词
般	60	助词
营收	60	名词
彩票	60	名词
杨	60	名词
形势	60	名词
篇幅	60	名词
字节	60	名词
毕业生	60	名词
口号	60	名词
董事会	60	名词
限	60	动词
生命力	60	名词
爱奇艺	60	名词
紧密	60	形容词
人间	60	名词
节日	60	时间词
爆炸	60	动词
赞同	60	动词
克制	60	动词
震惊	60	动词
教学	60	名词
网页	60	名词
全文	60	名词
看清	60	动词
胡	60	名词
平均水平	60	名词
叫作	60	动词
消费主义	60	名词
买下	60	动词
家务	60	名词
累计	60	动词
坎贝尔	60	名词
尚未	59	副词
刷新	59	动词
疲劳	59	形容词
第一名	59	数词
常规	59	名词
女朋友	59	名词
活得	59	动词
活得	59	助词
源自	59	动词
发了	59	动词
发了	59	助词
不肯	59	动词
不合理	59	名词
更深	59	副词
撞	59	动词
左边	59	方位词
物品	59	名词
点儿	59	名词
治理	59	动词
调动	59	动词
信用卡	59	名词
列出	59	动词
更强	59	副词
更强	59	形容词
靠近	59	动词
算了	59	动词
人际	59	名词
刻	59	动词
打磨	59	动词
在座	59	动词
对不起	59	习用语
会想	59	动词
一席	59	数词
漫画	59	名词
暗示	59	动词
久而久之	59	成语
大人	59	名词
起码	59	名词
形	59	名词
当代	59	时间词
领取	59	动词
分众	59	名词
张艺兴	59	名词
星汉	59	时间词
救	58	动词
摆在	58	动词
排序	58	名词
往前走	58	动词
中央	58	名词
终	58	副词
不看	58	副词
不看	58	动词
预计	58	动词
缩小	58	动词
通用	58	动词
普及	58	名词
经营者	58	名词
总裁	58	名词
不愿	58	副词
不愿	58	动词
时间段	58	名词
红	58	形容词
文末	58	名词
玩儿	58	名词
硬件	58	名词
超市	58	动词
种子	58	名词
列表	58	名词
另一半	58	副词
商量	58	名词
名单	58	名词
严谨	58	形容词
大陆	58	名词
致富	58	形容词
爬	58	动词
信息流	58	名词
缺失	58	动词
植物	58	名词
意大利	58	名词
确诊	58	动词
议题	58	名词
可控	58	动词
销售额	58	名词
票房	58	名词
人力资本	58	习用语
这门	58	代词
这门	58	处所词
补贴	58	名词
研究生	58	名词
自恋	58	动词
数值	58	名词
唤起	58	动词
文娱	58	名词
甲	58	名词
有点儿	57	代词
无人	57	名词
对称	57	动词
段落	57	名词
打车	57	动词
体力	57	名词
人均	57	简称略语
混	57	动词
才华	57	名词
治愈	57	动词
某人	57	代词
圈里	57	量词
关键在于	57	名词
俱乐部	57	名词
红包	57	名词
讨好	57	动词
反向	57	动词
致力于	57	名词
悲剧	57	名词
非理性	57	区别词
非要	57	前缀
非要	57	动词
不好意思	57	形容词
意图	57	名词
后天	57	时间词
一文	57	数词
验	57	动词
节省	57	名词
留存	57	动词
细	57	形容词
平凡	57	形容词
问过	57	动词
问过	57	助词
收听	57	动词
发给	57	动词
并未	57	副词
无力	57	名词
工程	57	名词
过滤	57	动词
不可避免	57	习用语
寿命	57	名词
挫败	57	动词
做饭	57	动词
充实	57	形容词
戏剧	57	名词
为啥	57	代词
单词	57	名词
修炼	57	动词
坐下	57	动词
股票价格	57	名词
算账	57	动词
自我介绍	57	名词
力气	56	名词
央行	56	简称略语
呆	56	动词
编	56	动词
装修	56	动词
海丰	56	名词
居民	56	名词
美丽	56	名词
十个	56	数词
设	56	动词
最深	56	副词
往期	56	时间词
误区	56	名词
总量	56	名词
每隔	56	动词
买家	56	名词
饿	56	动词
俄罗斯	56	名词
棒	56	状态词
皮肤	56	名词
冷	56	形容词
一股	56	数词
真心	56	副词
纠正	56	动词
失误	56	动词
各类	56	代词
幼儿园	56	名词
实用	56	动词
键	56	名词
耗费	56	动词
地址	56	名词
常说	56	副词
常说	56	动词
头部	56	名词
发送	56	动词
角落	56	名词
自私	56	形容词
衰老	56	形容词
流传	56	动词
巨人	56	名词
风险投资	56	名词
只好	56	副词
与众不同	56	成语
那条	56	数量词
提起	56	动词
沉重	56	形容词
几种	56	数词
保险公司	56	名词
有利于	56	动词
销量	56	名词
垄断	56	动词
多大	56	数词
多大	56	形容词
之道	56	助词
之道	56	量词
诸多	56	数词
副总裁	56	名词
喜悦	56	形容词
好书	56	名词
不感兴趣	56	习用语
超额	56	区别词
沉淀	56	动词
搞定	56	动词
机场	56	名词
准则	56	名词
缴费	56	动词
没想	56	动词
源	56	名词
抑郁症	56	成语
下一代	56	时间词
出口	56	动词
感冒	56	动词
小姐	56	名词
何引丽	56	名词
这类	55	代词
这类	55	量词
我该	55	代词
正义	55	名词
崩盘	55	动词
无视	55	动词
可爱	55	动词
媒介	55	名词
症	55	状态词
划分	55	动词
上游	55	方位词
楼	55	名词
好几个	55	数词
校园	55	名词
奖	55	名词
荒谬	55	形容词
低谷	55	名词
奖赏	55	动词
换成	55	动词
腿	55	名词
地面	55	名词
消灭	55	动词
还好	55	动词
一书中	55	数词
一书中	55	名词
一书中	55	方位词
斯	55	名词
双	55	名词
抄袭	55	动词
工作量	55	名词
激进	55	动词
源源不断	55	成语
做点	55	动词
做点	55	量词
下沉	55	动词
优	55	名词
​	55	字符串
并不一定	55	副词
有种	55	代词
▼	55	字符串
功利	55	名词
视	55	动词
说服力	55	习用语
粗暴	55	形容词
是非	55	动词
增量	55	名词
很深	55	副词
很深	55	形容词
累积	55	动词
创	55	名词
标志	55	名词
布局	55	名词
修复	55	动词
见解	55	动词
早晚	55	时间词
充斥	55	动词
底	55	方位词
存储	55	简称略语
稳定性	55	名词
公号	55	名词
承载	55	动词
活下去	55	习用语
触动	55	动词
第一位	55	数词
体面	55	名词
底下	55	方位词
地产	55	名词
感官	55	名词
g	55	字符串
熟人	55	名词
真实世界	55	名词
混沌	55	形容词
下雨	55	动词
讲稿	55	名词
表格	54	名词
志愿者	54	名词
著作	54	名词
攒	54	状态词
战场	54	名词
争	54	动词
下半年	54	时间词
简洁	54	形容词
隔壁	54	处所词
从业者	54	名词
事先	54	副词
第三种	54	数词
中产	54	简称略语
功课	54	名词
一声	54	数词
珍贵	54	形容词
违背	54	动词
更长	54	副词
更长	54	形容词
飞行	54	动词
用心	54	名词
诅咒	54	动词
微不足道	54	成语
董事长	54	名词
公寓	54	名词
考核	54	动词
微小	54	区别词
中心化	54	简称略语
安全性	54	名词
很棒	54	形容词
喵	54	拟声词
透过	54	动词
扎克	54	名词
教会	54	名词
玩具	54	名词
不足以	54	动词
交互	54	动词
阴影	54	名词
一级	54	数词
主意	54	名词
罗斯	54	名词
促使	54	动词
上方	54	方位词
天性	54	名词
讲故事	54	名词
复杂性	54	名词
变为	54	动词
法院	54	名词
校长	54	名词
取舍	54	动词
合同	54	形容词
存款	54	名词
迈克尔	54	名词
达利	54	名词
聂积燕	54	名词
带到	53	动词
直	53	副词
早年	53	时间词
正反馈	53	动词
长文	53	名词
台上	53	处所词
例	53	动词
思考问题	53	名词
人民	53	名词
武器	53	名词
两件	53	数词
几点	53	数词
品类	53	名词
致命	53	动词
恨	53	动词
盲目	53	名词
震撼	53	动词
披露	53	动词
那场	53	数量词
追踪	53	动词
明智	53	名词
kpi	53	字符串
本性	53	名词
获	53	动词
确切	53	形容词
一档	53	数词
先说	53	副词
先说	53	动词
传记	53	名词
占用	53	动词
王川	53	名词
显而易见	53	成语
厨师	53	名词
一顿	53	数词
薪资	53	名词
借贷	53	名词
九	53	数词
新世界	53	名词
发达	53	动词
跌幅	53	名词
八	53	数词
想不到	53	习用语
不必要	53	习用语
物业	53	名词
商人	53	名词
前辈	53	名词
期限	53	名词
真人秀	53	名词
研究者	53	名词
嫉妒	53	动词
精选	53	动词
糖果	53	名词
公民	53	名词
猛犸象	53	名词
救助	52	动词
禁止	52	动词
触及	52	动词
轮	52	状态词
散步	52	名词
宿舍	52	名词
职	52	名词
捷径	52	名词
众人	52	名词
感触	52	动词
一大堆	52	数词
教材	52	名词
欲	52	副词
脾气	52	名词
归纳	52	动词
投射	52	动词
见过	52	动词
见过	52	助词
孤立	52	动词
和谐	52	形容词
命题	52	名词
介入	52	动词
骰子	52	名词
马克斯	52	名词
大道	52	名词
雪球	52	名词
借鉴	52	动词
单身	52	名词
尊严	52	形容词
分工	52	动词
提取	52	动词
直至	52	动词
哈佛	52	名词
恰当	52	副词
忘掉	52	动词
那句	52	代词
那句	52	量词
象	52	名词
强度	52	名词
回路	52	动词
范畴	52	名词
无数次	52	数词
老王	52	名词
效益	52	名词
两倍	52	数词
绩效	52	区别词
幅度	52	名词
疼痛	52	名词
萧条	52	形容词
冰	52	名词
缴纳	52	动词
醒	52	动词
尽力	52	副词
眼神	52	名词
沙发	52	名词
镜子	52	名词
西安	52	名词
蒂尔	52	名词
韩信	52	名词
二手房	52	名词
服	51	动词
可怜	51	动词
从前	51	时间词
财产	51	名词
跌到	51	动词
耳朵	51	名词
原有	51	动词
面对面	51	方位词
一行	51	数词
青春	51	名词
气氛	51	名词
心思	51	名词
不太可能	51	成语
天空	51	名词
录音	51	名词
嘲笑	51	动词
压缩	51	动词
天使	51	名词
有点像	51	动词
开篇	51	名词
事上	51	名词
事上	51	方位词
尊敬	51	动词
多元化	51	动词
名叫	51	动词
石头	51	名词
对照	51	介词
虚无	51	动词
类别	51	名词
定性	51	名词
纷纷	51	副词
商	51	名词
邮箱	51	名词
两大	51	数词
两大	51	形容词
彩虹	51	名词
既有	51	连词
贝佐斯	51	名词
过高	51	助词
过高	51	形容词
墙	51	名词
组成部分	51	习用语
成交	51	动词
回国	51	名词
分发	51	动词
合格	51	名词
判断力	51	名词
保存	51	动词
日记	51	名词
深层	51	名词
遍	51	动词
冒犯	51	动词
热衷于	51	动词
同类	51	名词
这话	51	代词
操纵	51	动词
打败	51	动词
生死	51	动词
等级	51	区别词
总部	51	名词
事务	51	名词
不说	51	副词
不说	51	动词
过多	51	助词
过多	51	数词
多重	51	数词
门店	51	名词
中介	51	简称略语
谈起	51	动词
h	51	字符串
违反	51	动词
电子邮件	51	名词
状	51	名词
屠夫	51	名词
拍摄者	51	名词
奇绩	51	名词
青云	51	名词
物理学	50	名词
无奈	50	副词
抄底	50	名词
专心	50	名词
夜晚	50	时间词
分心	50	动词
载体	50	名词
意味	50	名词
笔	50	名词
供应	50	动词
挤	50	动词
骑	50	动词
有次	50	代词
摆	50	动词
一夜	50	数词
封	50	量词
通勤	50	简称略语
近乎	50	副词
绝	50	副词
简	50	形容词
马云	50	名词
探寻	50	动词
蠢	50	形容词
女子	50	名词
营造	50	动词
折	50	动词
越来越少	50	习用语
命名	50	名词
名校	50	名词
邻居	50	动词
损害	50	动词
预设	50	动词
讲清楚	50	习用语
爆款	50	动词
一口	50	数词
降到	50	动词
任意	50	动词
就够	50	副词
就够	50	动词
队友	50	名词
商业化	50	名词
觉醒	50	动词
找寻	50	动词
看不清	50	动词
初衷	50	副词
内耗	50	名词
所有权	50	名词
非洲	50	名词
行情	50	名词
主编	50	区别词
透露	50	动词
班级	50	名词
中午	50	时间词
自行	50	代词
本事	50	代词
环	50	动词
扫码	50	名词
排斥	50	动词
无力感	50	习用语
在场	50	动词
随之	50	介词
现代人	50	名词
书名	50	名词
欧	50	名词
网球	50	名词
外向	50	名词
蒙	50	动词
环保	50	简称略语
鸟	50	状态词
第三层	50	数词
陈海贤	50	名词
山上	50	处所词
应急	50	动词
﹒	50	字符串
王滔	50	名词
说唱	50	动词
遗产	49	动词
一阵	49	数词
重塑	49	名词
剩余	49	动词
疯	49	动词
发财	49	动词
领袖	49	名词
计	49	名词
人去	49	名词
人去	49	动词
凌晨	49	时间词
求助	49	动词
赞赏	49	动词
人心	49	名词
发育	49	动词
禅定	49	名词
入手	49	动词
上级	49	区别词
名言	49	名词
悖论	49	名词
一回	49	数词
一所	49	数词
告别	49	动词
坚守	49	动词
投资决策	49	名词
曝光	49	名词
不出	49	副词
不出	49	动词
卖家	49	名词
副	49	区别词
论述	49	动词
拿走	49	动词
购物	49	名词
开销	49	动词
讽刺	49	动词
打个	49	动词
打个	49	量词
斯文森	49	名词
来临	49	动词
先进	49	形容词
细微	49	形容词
主任	49	区别词
纯	49	形容词
专题	49	名词
破裂	49	动词
语气	49	名词
份额	49	名词
狂热	49	形容词
电动车	49	名词
朴素	49	名词
面向	49	名词
联网	49	名词
草	49	名词
新型	49	区别词
右	49	方位词
往后	49	时间词
始	49	副词
修	49	动词
紧急	49	形容词
净	49	形容词
动画	49	名词
精心	49	名词
结构性	49	名词
软	49	形容词
送到	49	动词
热度	49	名词
焦点	49	名词
产物	49	名词
争吵	49	动词
服务员	49	名词
奢侈品	49	名词
刘邦	49	名词
讲课	49	动词
执念	49	动词
熬	49	动词
案	49	名词
港股	49	名词
信息源	49	名词
艾菲	49	名词
黄州	49	名词
陆庆松	49	名词
择	48	动词
未经	48	副词
万亿	48	数词
高潮	48	名词
索罗斯	48	名词
整	48	动词
存活	48	动词
一封	48	数词
初创	48	名词
平和	48	形容词
四处	48	数词
天气	48	名词
礼貌	48	名词
推崇	48	动词
辅助	48	动词
换来	48	动词
上司	48	名词
气质	48	名词
妨碍	48	动词
名词	48	名词
素质	48	名词
心底	48	处所词
哈撒韦	48	名词
出手	48	动词
张小龙	48	名词
船	48	名词
进度	48	副词
鸡汤	48	名词
展	48	动词
交代	48	名词
运	48	名词
效	48	名词
实质	48	名词
放进	48	动词
提倡	48	动词
登上	48	动词
帽子	48	名词
播出	48	动词
耶鲁	48	名词
占有	48	动词
宽容	48	形容词
情怀	48	名词
讲究	48	动词
空头	48	名词
暴跌	48	动词
喜好	48	动词
一书	48	数词
一书	48	名词
从零开始	48	成语
极小	48	副词
吹	48	动词
张勇	48	名词
表象	48	名词
广阔	48	形容词
晋升	48	名词
过时	48	时间词
懒惰	48	形容词
心目	48	名词
实战	48	动词
思绪	48	名词
积蓄	48	名词
推销	48	动词
两句	48	数词
年薪	48	名词
得知	48	动词
资讯	48	名词
委员会	48	名词
再见	48	动词
白色	48	名词
觉察	48	动词
带宽	48	动词
招募	48	动词
项羽	48	名词
长得	47	形容词
长得	47	助词
并不需要	47	习用语
目的地	47	名词
试验	47	动词
老鼠	47	名词
等同于	47	动词
赞美	47	名词
压	47	动词
高三	47	名词
开来	47	动词
不见	47	动词
第二年	47	数词
地带	47	名词
风景	47	名词
设立	47	动词
写成	47	动词
奔	47	状态词
推演	47	动词
初步	47	副词
多半	47	数词
发自内心	47	习用语
雇佣	47	动词
乘客	47	名词
敌	47	名词
苦难	47	形容词
短时间	47	名词
第二步	47	数词
诸如此类	47	习用语
佣金	47	名词
休闲	47	动词
森林	47	名词
备注	47	动词
千万别	47	成语
高瓴	47	形容词
高瓴	47	语素
偏离	47	动词
自发	47	动词
偷偷	47	副词
知识分子	47	名词
推翻	47	动词
透	47	动词
失踪	47	动词
商务	47	名词
提炼	47	动词
眼	47	名词
新能源	47	名词
续	47	动词
触发	47	动词
松弛	47	形容词
权重	47	名词
局限性	47	名词
一次次	47	数词
滑	47	动词
投放	47	动词
迪士尼	47	名词
多岁	47	数词
追寻	47	动词
伪	47	简称略语
倦怠	47	形容词
赚大钱	47	动词
大数据	47	字符串
月薪	47	名词
溢价	47	名词
筹码	47	名词
战术	47	名词
娃	47	名词
根治	47	名词
根	47	介词
光明	47	名词
©	47	字符串
浮现	47	动词
足	47	形容词
打出	47	动词
信贷	47	名词
容	47	形容词
股民	47	名词
摧毁	47	动词
善意	47	动词
帖子	47	名词
杨丽娟	47	名词
素养	47	名词
遵守	47	动词
社	47	名词
平安	47	形容词
嘉禾	47	名词
开市	47	动词
竞赛	46	动词
难免	46	副词
学问	46	名词
估算	46	动词
不可思议	46	成语
十	46	数词
成人	46	名词
南方	46	方位词
大声	46	数词
家乡	46	名词
半天	46	数词
自责	46	动词
一副	46	数词
多一点	46	数词
多一些	46	数词
第四个	46	数词
大学毕业	46	名词
孔子	46	名词
怎样才能	46	习用语
选中	46	动词
说不定	46	习用语
质	46	名词
值钱	46	动词
名义	46	名词
微	46	名词
喜爱	46	动词
打仗	46	动词
三大	46	简称略语
摩擦	46	动词
留下来	46	动词
成功率	46	名词
回购	46	动词
大钱	46	名词
走势	46	名词
第五	46	数词
土豆	46	名词
主管	46	名词
打扰	46	动词
快手	46	形容词
快手	46	名词
框	46	动词
冷漠	46	名词
终究	46	副词
增长率	46	名词
声誉	46	名词
评分	46	名词
关乎	46	动词
理所当然	46	成语
一模一样	46	习用语
谈判	46	动词
含	46	动词
约会	46	名词
主宰	46	动词
预感	46	名词
卖出去	46	动词
小人	46	名词
多位	46	数词
模	46	名词
住宅	46	名词
纳入	46	动词
食品	46	名词
只想	46	副词
只想	46	动词
兴起	46	动词
出发点	46	名词
姿势	46	名词
不用说	46	习用语
邪恶	46	形容词
昂贵	46	形容词
补偿	46	动词
生产率	46	名词
之分	46	助词
之分	46	动词
大伙	46	名词
内心深处	46	成语
强势	46	名词
怀孕	46	动词
片段	46	数词
细致	46	形容词
信息量	46	名词
登顶	46	名词
李传帅	46	名词
看一看	46	动词
家暴	46	名词
留意	46	动词
钢琴	46	名词
象限	46	名词
副业	46	名词
驿站	46	名词
做起	45	动词
合并	45	动词
适度	45	形容词
假定	45	动词
毁灭	45	动词
台阶	45	名词
一分钱	45	名词
再用	45	副词
再用	45	介词
专辑	45	名词
作文	45	名词
天堂	45	名词
源头	45	名词
固化	45	动词
吾	45	代词
深渊	45	名词
